municipios,Total,Abacate,Algodão arbóreo (em caroço),Açaí,Azeitona,Banana (cacho),Borracha (látex coagulado),Borracha (látex líquido),Cacau (em amêndoa),Café (em grão) Total,Café (em grão) Arábica,Café (em grão) Canephora,Caju,Caqui,Castanha de caju,Chá da índia (folha verde),Coco da baía*,Dendê (cacho de coco),Erva mate (folha verde),Figo,Goiaba,Guaraná (semente),Laranja,Limão,Maçã,Mamão,Manga,Maracujá,Marmelo,Noz (fruto seco),Palmito,Pera,Pêssego,Pimenta do reino,Sisal ou agave (fibra),Tangerina,Tungue (fruto seco),Urucum (semente),Uva
Gameleiras,4,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Glaucilândia,43,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,5,0,1,6,1,0,0,0,0,0,0,0,0,0,1,0
Goiabeira,5,1,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Goianá,20,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,2,0,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,1
Gonçalves,319,2,0,0,10,297,0,0,0,0,0,0,0,2,0,0,0,0,0,1,0,0,1,3,1,0,0,0,0,0,0,0,2,0,0,0,0,0,0
Gonzaga,21,0,0,0,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
Gouveia,91,3,0,0,0,17,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,5,0,0,0,50,0,0,0,0,0,0,0,0,12,0,3,0
Governador Valadares,226,0,0,0,0,140,0,0,0,0,0,0,0,0,0,0,32,0,0,0,1,0,10,2,0,0,1,1,0,0,28,0,0,8,0,2,0,0,1
Grão Mogol,194,2,0,0,0,35,0,0,0,90,90,0,0,0,0,0,1,0,0,0,0,0,12,1,0,0,18,26,0,0,0,0,0,0,0,1,0,8,0
Grupiara,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,1,0,0,1,0,0,0,0,0,0,0,6,0,0,1
Guanhães,31,5,0,0,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Guapé,9134,0,0,0,0,18,0,0,0,9100,9100,0,0,0,0,0,1,0,0,0,0,0,11,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0
Guaraciaba,140,0,0,0,0,3,0,0,0,130,130,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,4
Guaraciama,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Guaranésia,4235,12,0,0,0,5,0,0,0,4200,4200,0,0,5,0,0,0,0,0,0,0,0,1,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Guarani,107,3,0,0,0,3,0,0,0,58,58,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,22,3,0,0,0,0,0,0,0,15,0,0,0
Guarará,29,1,0,0,0,11,0,0,0,14,14,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
Guarda0Mor,439,0,0,0,0,85,0,0,0,354,354,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Guaxupé,3996,29,0,0,0,16,0,0,0,3950,3950,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Guidoval,174,0,0,0,0,35,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,8,11,0,0,90,14,0,0,0,0,0,0,0,9,0,0,0
Guimarânia,4145,2,0,0,0,3,0,0,0,4100,4100,0,0,0,0,0,0,0,0,0,0,0,8,4,0,0,0,15,0,0,3,0,0,0,0,10,0,0,0
Guiricema,391,3,0,0,0,22,0,0,0,200,200,0,0,0,0,0,2,0,0,0,66,0,0,4,0,0,82,10,0,0,0,0,0,0,0,2,0,0,0
Gurinhatã,347,0,0,0,0,4,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,327,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0
Heliodora,3185,0,0,0,0,0,0,0,0,3185,3185,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Iapu,421,0,0,0,0,110,0,0,0,304,304,0,0,0,0,0,3,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,2,0,0,0
Ibertioga,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1
Ibiá,6125,150,0,0,0,9,195,0,0,5550,5550,0,0,0,0,0,0,0,0,0,0,0,160,47,0,0,4,0,0,0,0,0,0,0,0,10,0,0,0
