municipios,Bovino,Bubalino,Equino,Suíno - matrizes de suínos,Caprino,Ovino,Galináceos - galinhas,Codornas
Lamim,3791,41,285,68,46,27,2100,0
Laranjal,15768,0,370,145,80,70,3810,0
Lassance,40075,0,958,342,15,175,7500,0
Lavras,25864,25,1386,276,95,1104,352000,382500
Leandro Ferreira,21458,343,566,84,17,198,3700,0
Leme do Prado,1940,0,243,115,133,0,3260,0
Leopoldina,67450,130,1900,550,390,195,85000,0
Liberdade,17336,5,600,78,85,52,775,0
Lima Duarte,31927,49,904,609,0,227,4500,0
Limeira do Oeste,86006,89,1650,280,263,565,3800,0
Lontra,8149,0,643,262,16,72,7300,0
Luisburgo,1576,0,90,211,119,46,5100,0
Luislândia,13504,0,889,205,42,73,6700,0
Luminárias,12885,0,981,57,14,41,2000,0
Luz,75053,1790,2056,731,0,71,24000,0
Machacalis,34030,110,1275,82,21,306,3200,0
Machado,23707,40,461,2802,85,303,268330,0
Madre de Deus de Minas,14642,3,652,50,0,183,750,0
Malacacheta,32244,0,1676,693,82,446,12400,0
Mamonas,9191,0,729,405,77,35,8200,0
Manga,48600,0,1455,593,500,954,14500,0
Manhuaçu,6474,0,375,307,110,68,7850,0
Manhumirim,1832,0,49,59,13,0,2075,0
Mantena,33307,0,921,368,203,182,5150,0
Maravilhas,19139,176,474,314,0,0,3100,0
Mar de Espanha,22750,11,320,48,0,25,3120,0
Maria da Fé,12599,6,514,66,36,311,2000,0
Mariana,15870,15,974,166,170,196,4000,0
Marilac,11514,0,428,57,11,63,1850,0
Mário Campos,281,0,92,8,0,0,20800,0
Maripá de Minas,6100,0,390,95,42,12,2200,0
Marliéria,8320,29,376,15,44,35,1900,0
Marmelópolis,4355,0,121,84,25,12,320,0
Martinho Campos,60827,638,676,2519,0,63,1600,0
Martins Soares,1252,0,16,41,15,0,2400,0
Mata Verde,11043,0,331,46,39,113,575,0
Materlândia,15048,6,486,210,17,97,5500,0
Mateus Leme,13694,136,961,96,45,329,2150,0
Matias Barbosa,7381,7,310,19,19,43,625,0
Matias Cardoso,59605,0,903,421,254,602,5400,0
Matipó,10896,0,438,1318,306,27,5125,0
Mato Verde,19311,0,343,421,191,121,6600,0
Matozinhos,12150,3,1000,23,11,20,400,0
Matutina,25252,8,571,198,0,0,4200,0
Medeiros,41624,241,1124,591,23,21,6500,0
Medina,33168,0,2123,498,491,396,12250,0
Mendes Pimentel,22056,0,852,121,127,127,4500,0
Mercês,18136,0,314,229,12,15,9500,0
Mesquita,12247,0,732,113,43,27,3400,0
Minas Novas,9252,0,1342,1122,286,114,36500,0
Minduri,5725,381,664,34,0,65,430,0
Mirabela,16875,0,1045,421,40,160,9600,0
Miradouro,30986,30,844,1081,119,99,5351,0
Miraí,23779,0,418,45,328,41,2000,0
Miravânia,10815,0,649,208,40,27,5750,0
Moeda,5264,0,188,5,23,39,2500,0
Moema,16284,1718,497,305,0,29,3500,0
Monjolos,15223,0,506,49,0,0,1400,0
Monsenhor Paulo,12952,58,365,85,231,51,3025,0
Montalvânia,42512,0,1673,794,258,491,14000,0
Monte Alegre de Minas,140786,70,2452,14878,0,412,48350,0
Monte Azul,33757,0,1516,1121,487,796,18000,0
Monte Belo,21611,31,365,665,41,127,2750,0
Monte Carmelo,52419,17,939,361,73,153,15250,0
Monte Formoso,9185,0,502,92,50,47,3500,0
Monte Santo de Minas,23713,12,294,3672,2,0,5250,0
Montes Claros,103677,56,6824,2342,498,614,1575100,580
Monte Sião,24628,0,515,203,186,169,4800,0
Montezuma,6239,0,411,320,80,76,9250,0
Morada Nova de Minas,48593,69,1389,1506,42,0,4900,0
Morro da Garça,23682,0,579,58,0,169,2000,0
Morro do Pilar,10495,583,718,97,0,7,2700,0
