municipios,Abacate,Café (em grão) Total,Maçã,Pêssego,Uva,Abobrinha,Beterraba,Chuchu,Jiló,Pimentão,Acelga (Toneladas),Alface (Toneladas),Batata-baroa (mandioquinha) (Toneladas),Batata-doce (Toneladas),Couve (Toneladas),Espinafre (Toneladas),Morango (Toneladas),Repolho (Toneladas),Rúcula (Toneladas),Tomate (estaqueado)
Rio Espera,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Rio Manso,0,0,0,0,0,6,1,0,2,99,0,1,0,0,2,0,10,0,0,31
Rio Novo,0,0,0,0,0,1,1,1,0,0,0,1,0,0,1,0,0,0,0,0
Rio Paranaíba,10080,16320,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0
Rio Pardo de Minas,0,1220,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
Rio Piracicaba,0,0,0,0,0,1,0,0,1,0,0,3,0,0,0,0,0,0,0,6
Rio Pomba,0,0,0,0,0,0,0,24,0,0,0,0,0,0,0,0,0,0,0,0
Rio Preto,0,0,0,0,0,0,0,0,0,0,0,15,0,0,0,0,0,1,0,0
Rio Vermelho,0,9,0,0,0,0,0,0,0,0,0,3,0,0,3,0,0,0,0,0
Ritápolis,0,372,0,0,0,0,0,0,0,0,0,2,0,0,3,0,0,0,0,0
Rochedo de Minas,0,0,0,0,0,0,0,1,0,0,0,3,0,0,2,0,0,0,0,1
Rodeiro,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0
Romaria,0,8790,0,0,0,8,3,2,3,1,0,28,0,0,9,0,0,4,0,4
Rosário da Limeira,0,730,0,0,3,3,0,0,1,0,0,1509,0,0,0,0,0,4,0,0
Rubelita,0,0,0,0,0,5,0,0,6,0,0,1,0,1,0,0,0,0,0,0
Rubim,0,13,0,0,0,353,0,0,150,23,0,6,0,0,3,0,0,0,0,439
Sabará,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Sabinópolis,0,5,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Sacramento,4950,2586,0,0,0,0,0,0,0,0,0,6,0,0,2,0,0,0,0,0
Salinas,0,7,0,0,6,0,0,0,0,0,0,22,0,0,1,0,0,0,0,0
Salto da Divisa,0,0,0,0,0,0,1,0,0,0,0,3,0,0,1,0,0,1,0,0
Santa Bárbara,0,14,0,0,0,4424,0,147,0,0,0,7,1910,0,0,0,0,0,0,0
Santa Bárbara do Leste,690,3100,0,0,0,9,0,1,8,0,0,3,0,1,7,0,0,1,0,0
Santa Bárbara do Monte Verde,0,2,0,0,3,18,0,0,5,19,0,16,0,0,10,0,0,0,0,132
Santa Bárbara do Tugúrio,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Santa Cruz de Salinas,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Santa Cruz do Escalvado,0,0,0,0,0,0,0,1,0,0,0,26,0,0,3,0,53,0,4,0
Santa Efigênia de Minas,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Santa Fé de Minas,0,0,0,0,0,1,0,0,6,0,0,81,0,0,13,0,0,0,1,0
Santa Helena de Minas,0,0,0,0,0,0,0,0,0,0,0,4,0,0,1,0,0,0,0,0
Santa Juliana,0,0,0,0,0,0,0,0,125,0,0,0,0,0,0,0,0,0,0,76
Santa Luzia,0,0,0,0,0,4,0,0,16,0,0,3,0,0,1,0,0,0,0,0
Santa Margarida,36,11760,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Santa Maria de Itabira,0,0,0,0,0,1,1,3,1,1,0,6,0,1,2,0,0,0,0,1
Santa Maria do Salto,0,15,0,0,0,3,4,0,3,0,0,84,0,0,57,0,0,4,0,45
Santa Maria do Suaçuí,0,29,0,0,0,1,14,6,3,23,0,25,0,9,6,0,0,6,0,59
Santana da Vargem,0,6610,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Santana de Cataguases,0,0,0,0,0,0,0,0,4,0,0,74,0,0,22,1,8,6,0,0
Santana de Pirapama,120,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,22,0,0
Santana do Deserto,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Santana do Garambéu,0,5,0,0,0,0,0,0,0,0,0,47,0,0,1,0,0,0,0,52
Santana do Jacaré,0,576,0,0,0,0,2,5,6,40,15,153,0,0,44,1,0,52,2,80
Santana do Manhuaçu,0,9030,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Santana do Paraíso,0,6,0,0,0,7,6,0,0,0,0,11,0,0,5,0,0,0,4,0
Santana do Riacho,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Santana dos Montes,0,0,0,0,12,0,12,0,11,0,0,15,0,0,8,0,0,0,0,0
Santa Rita de Caldas,0,240,0,268,15,0,1,0,2,19,0,12,0,0,3,0,0,0,0,752
Santa Rita de Jacutinga,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Santa Rita de Minas,54,1990,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Santa Rita de Ibitipoca,0,0,0,0,0,1,0,0,2,0,0,3,0,0,5,0,0,0,0,0
Santa Rita do Itueto,0,9288,0,0,0,2,18,2,5,2,8,98,0,3,15,5,0,17,4,1
Santa Rita do Sapucaí,0,6000,0,0,0,2,3,0,4,0,3,97,0,0,17,1,0,3,2,0
Santa Rosa da Serra,0,4340,0,0,5,296,0,0,31,47,1,30,0,0,6,1,346,30,1,3093
Santa Vitória,0,0,0,0,0,5,1272,15,13,2,124,34,0,0,3,0,0,3630,1,245
Santo Antônio do Amparo,0,8917,0,0,0,1,0,0,1,0,0,76,0,0,5,1,0,2,2,0
Santo Antônio do Aventureiro,0,5,0,0,0,0,0,0,0,4,0,2,0,0,0,0,0,0,0,46
Santo Antônio do Grama,0,150,0,0,0,1,0,0,9,0,0,0,0,0,0,0,0,0,0,0
Santo Antônio do Itambé,0,0,0,0,0,2,1,0,0,1,0,4,0,0,3,0,0,1,0,3
Santo Antônio do Jacinto,0,0,0,0,0,0,2,0,0,2,0,2,0,0,0,0,0,0,0,3
Santo Antônio do Monte,0,13,0,0,0,0,65,0,10,66,0,129,0,0,31,0,0,22,0,94
Santo Antônio do Retiro,0,28,0,0,0,0,0,0,1,9,0,5,0,0,2,0,0,0,0,394
Santo Antônio do Rio Abaixo,0,0,0,0,0,0,0,0,0,0,0,3,0,0,1,0,0,0,0,0
Santo Hipólito,0,0,0,0,0,40,0,0,1930,0,0,0,0,0,0,0,0,0,0,0
Santos Dumont,0,0,0,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
São Bento Abade,0,1520,0,0,0,2,6,2,0,0,0,22,0,0,6,0,0,4,0,4
São Brás do Suaçuí,0,0,0,0,0,1,7,2,6,0,0,14,0,0,11,1,0,68,0,4
São Domingos das Dores,0,3150,0,0,0,0,0,0,0,0,0,7,0,0,2,0,0,0,0,0
São Domingos do Prata,0,72,0,0,0,592,0,1291,0,84,47,1240,0,0,2702,27,0,0,22,357
São Félix de Minas,0,17,0,0,0,1,12,1,2,0,0,10,0,0,6,0,0,2,0,0
São Francisco,0,0,0,0,0,0,0,0,0,0,0,7,0,0,17,0,0,0,6,0
São Francisco de Paula,0,4992,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7
São Francisco de Sales,40,0,0,0,0,0,0,0,0,155,0,0,0,0,0,0,0,0,0,5496
São Francisco do Glória,0,1000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
São Geraldo,0,340,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2
São Geraldo da Piedade,0,0,0,0,0,0,0,0,0,0,0,4,0,0,1,0,0,0,0,0
São Geraldo do Baixio,0,0,0,0,0,8,2,13,2,0,0,14,0,0,14,1,0,1,1,295
São Gonçalo do Abaeté,0,60,0,0,0,0,0,0,1,0,0,4,0,0,0,0,0,0,0,0
São Gonçalo do Pará,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
São Gonçalo do Rio Abaixo,0,4,0,0,0,16,0,0,13,41,0,13,0,0,10,0,0,9,0,424
São Gonçalo do Sapucaí,5,6900,0,0,1182,2,1,0,2,0,0,10,0,0,1,0,0,0,0,0
São Gotardo,867,2300,0,0,0,1,2,0,1,0,0,15,0,0,6,0,0,0,0,0
São João Batista do Glória,0,490,0,0,6,1,0,1,0,0,0,1,0,0,0,0,0,1,0,0
São João da Lagoa,0,0,0,0,0,0,0,0,0,0,0,6,0,0,4,0,0,0,0,3
São João da Mata,0,1253,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
São João da Ponte,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
São João das Missões,0,0,0,0,0,0,0,0,2,9,0,0,0,0,0,0,0,8,0,79
São João del Rei,40,348,0,0,0,3,5,1,1,0,0,13,0,0,12,0,0,0,0,0
São João do Manhuaçu,0,7730,0,0,0,0,0,0,2,0,0,2,0,0,0,0,0,1,0,2
São João do Manteninha,0,54,0,0,0,1,0,0,4,3,6,72,0,0,27,2,0,6,8,0
São João do Oriente,0,0,0,0,0,23,9,37,37,13,14,249,0,12,68,1,0,231,13,10351
São João do Pacuí,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
São João do Paraíso,0,133,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
São João Evangelista,0,0,0,0,0,1,1,2,1,0,0,16,0,1,6,0,0,1,0,2
São João Nepomuceno,0,0,0,0,0,0,0,0,23,0,0,4,0,0,0,0,0,0,0,0
São Joaquim de Bicas,8,0,0,0,0,0,0,0,0,0,0,14,0,0,6,0,0,1,0,0
São José da Barra,0,4590,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,108
São José da Lapa,0,0,0,0,0,47,5,11,6,11,0,5,0,2,2,0,0,18,1,180
São José da Safira,0,0,0,0,0,0,0,0,0,0,0,2,0,0,1,0,0,0,0,0
São José da Varginha,0,0,0,0,0,215,3,5678,0,44,192,3244,0,0,462,383,0,0,301,0
São José do Alegre,0,220,0,0,0,1,2,5,1,0,0,5,0,0,2,0,0,4,0,22
São José do Divino,0,0,0,0,0,1,0,0,0,0,0,2,0,0,0,0,0,0,0,1
São José do Goiabal,0,2,0,0,0,54,0,0,0,0,0,0,0,0,0,0,5642,0,0,0
São José do Jacuri,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
São José do Mantimento,0,834,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
São Lourenço,0,55,0,0,0,0,2,0,2,0,0,2,0,0,1,0,0,3,0,1
São Miguel do Anta,0,1561,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,1,0,0
São Pedro da União,1770,6780,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
São Pedro dos Ferros,0,0,0,0,0,2,0,0,3,4,0,2,0,0,3,0,0,0,0,104
São Pedro do Suaçuí,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
São Romão,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
São Roque de Minas,300,8249,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
